file_name	URI	acousticness	danceability	energy	key	liveness	loudness	mode	speechiness	tempo	valence	instrumentalness
ageOfAdz/Sufjan Stevens _ Bad Communication.mp3	spotify:track:2JYJwhsEoWsYXYr2rpwzxx	1	0.18	0.154	0	0.0865	-17.743	1	0.04	191.05	0.136	0.00121
ageOfAdz/Sufjan Stevens _ Futile Devices.mp3	spotify:track:5vTSnZTmS1gMiWuA9kDE19	1	0.462	0.187	4	0.0985	-19.991	1	0.0304	140.096	0.252	0.847
ageOfAdz/Sufjan Stevens _ Impossible Soul.mp3	spotify:track:36KKQqcDQTk4Op0usyqrMS	0	0.552	0.54	11	0.125	-13.121	0	0.127	119.998	0.16	0.0015
ageOfAdz/Sufjan Stevens _ Too Much.mp3	spotify:track:5WSeS3eCD0dMrMPQ9hk19O	1	0.539	0.815	0	0.569	-10.691	1	0.339	147.978	0.611	0.0605
ageOfAdz/Sufjan Stevens _ Vesuvius.mp3	spotify:track:3GWZX3YtldXCdSQqrzGgV5	1	0.527	0.437	5	0.0969	-11.761	1	0.0344	114.034	0.358	0.00168
agnee/Agnee _ Aahatein.mp3	spotify:track:0JMk0JVs1mVoYLexUpJg0f	1	0.714	0.408	7	0.184	-10.75	1	0.0468	83.04	0.571	0
agnee/Agnee _ Kaise Ho Tum.mp3	spotify:track:06KPw6vrS9HtGGPIRoimUt	1	0.653	0.305	0	0.113	-10.204	1	0.0277	75.002	0.443	0.00175
agnee/Agnee _ Karvan.mp3	spotify:track:1IXMNWd9HgHRY1aXtM4Fnf	1	0.6	0.525	2	0.0862	-10.057	1	0.0328	139.949	0.318	7.23E-05
agnee/Agnee _ Sadaa.mp3	spotify:track:1IXMNWd9HgHRY1aXtM4Fnf	1	0.6	0.525	2	0.0862	-10.057	1	0.0328	139.949	0.318	7.23E-05
agnee/Agnee _ Shaam Tanha.mp3	spotify:track:5V6XcXBrCGI6JOeYr4Uyo3	1	0.441	0.538	2	0.143	-10.1	1	0.0888	169.676	0.731	0.00515
agnee/Agnee _ Ujale Baaz.mp3	spotify:track:58PkDDbzS5ptoXaqqBuuoX	1	0.612	0.753	2	0.129	-10.114	1	0.0317	143.946	0.592	0.00595
ajoyChokroborty/Ajoy Chakraborthy, Parveen Sultana (Uttam Singh) {Anand Baksh} _ Aan Milo Sajna.mp3	spotify:track:0JiPUFfWlhT1SJ92eZ84GU	1	0.367	0.836	5	0.216	-4.875	1	0.135	68.144	0.503	0.000963
ajoyChokroborty/Ajoy Chakraborty _ Eri Aali Piya Bin - Raag Yaman.mp3	spotify:track:3fDzrhvWQWrRASCiwN2IqW	1	0.533	0.651	6	0.209	-6.44	1	0.036	99.949	0.422	0
ajoyChokroborty/Ajoy Chokroborty _ Badra Re Tu.mp3	spotify:track:29xo3iMgOUvBjhAdHqER7f	1	0.608	0.651	6	0.231	-6.533	1	0.0682	78.108	0.584	0
ajoyChokroborty/Ajoy Chokroborty _ Khelun Piya Sang Hori.mp3	spotify:track:28js0cjWe1Q1jlxkOJulRQ	1	0.512	0.529	6	0.111	-6.824	1	0.0317	156.042	0.41	1.9E-06
alec/Alec Benjamin _ Let Me Down Slowly.mp3	spotify:track:2qxmye6gAegTMjLKEBoR3d	0	0.652	0.557	1	0.124	-5.714	0	0.0318	150.073	0.483	0
alec/Alec Benjamin _ Mind Is A Prison.mp3	spotify:track:2hGQDYmjkwTS0J7Q2bM2sF	0	0.656	0.645	5	0.18	-5.442	0	0.0397	75.473	0.669	0
alec/Alec Benjamin _ Paper Crown.mp3	spotify:track:2u3CBAj5SqSck2YwF8a7f9	0	0.582	0.272	10	0.0745	-8.511	0	0.0418	144.244	0.544	0
aloknandaDasgupta/Alokananda Dasgupta _ Escape.mp3	spotify:track:6KHNCzwxSLbLnpCeYXobo0	1	0.511	0.187	0	0.124	-14.264	1	0.0326	140.021	0.0759	0.952
aloknandaDasgupta/Alokananda Dasgupta _ I Am Trapped .mp3	spotify:track:1H2FpuG4OcxviQzDOQTvpr	0	0.643	0.444	0	0.103	-11.584	0	0.109	104.795	0.315	0.639
aloknandaDasgupta/Alokananda Dasgupta _ Sacred Games Background Score - Suspense.mp3	spotify:track:6yzUQPCzJIMx3n3s4ovQqu	0	0.303	0.491	6	0.538	-13.147	0	0.0308	180.198	0.455	0.87
aloknandaDasgupta/Alokananda Dasgupta _ Tope Theme.mp3	spotify:track:6yzUQPCzJIMx3n3s4ovQqu	0	0.303	0.491	6	0.538	-13.147	0	0.0308	180.198	0.455	0.87
aloknandaDasgupta/Tejas Menon, Aloknanda Dasgupta {Rajeshwari Dasgupta} _ Dheemi.mp3	spotify:track:2u8ElQ87ZuYrPGGIWCvcge	1	0.2	0.221	9	0.145	-14.544	1	0.032	158.827	0.164	0.00116
aman/Aman _ Abh Mera Kaha Thikana.mp3	spotify:track:3gPQEzMBsGCVYlsIj40Ud1	1	0.433	0.543	9	0.266	-10.04	1	0.045	83.968	0.206	0.0762
aman/Aman, Advait _ Dil Ko Kaise Samjhau.mp3	spotify:track:1VfXQU4wZrEbaU363jra5E	1	0.533	0.105	4	0.107	-19.018	1	0.0334	115.513	0.176	0.184
aman/Aman, Advait _ Tu Hai Kahaan.mp3	spotify:track:3LbpxC2ozexZJ5ZVWY42MP	1	0.33	0.0124	0	0.11	-25.823	1	0.0395	81.788	0.305	7.04E-06
aman/Aman _ Bombay aur Baarish.mp3	spotify:track:6fI7f0S356KkqkToKl8Hgz	1	0.18	0.543	2	0.0681	-13.115	1	0.127	199.929	0.238	0.531
aman/Aman _ Khwab (P.N.D.A's remix).mp3	spotify:track:3PbTavZmyYwMWqYsAC44id	1	0.591	0.389	0	0.602	-12.146	1	0.135	79.96	0.581	0.0108
amberRun/Amber Run _ 5AM.mp3	spotify:track:4B4kunXhV2ZKnYcvDgAFoE	1	0.357	0.433	0	0.0808	-11.521	1	0.0418	145.736	0.089	0.00636
amberRun/Amber Run _ I Found.mp3	spotify:track:5zT5cMnMKoyruPj13TQXGx	0	0.567	0.303	7	0.104	-12.481	0	0.0351	124.949	0.252	0.00563
amberRun/Amber Run _ Worship .mp3	spotify:track:76izLl2WtSIPWjVQ2ebnJP	1	0.14	0.428	5	0.114	-6.546	1	0.0299	76.426	0.197	0.0599
amitTrivedi/Amit Trivedi {Amitabh Bhattacharya} _ Saali khushi.mp3	spotify:track:1G1fUruO3bSYPEIkeF6VyL	1	0.403	0.621	0	0.112	-7.755	1	0.0369	175.557	0.232	0.000754
amitTrivedi/Amit Trivedi _ Haminastu.mp3	spotify:track:46mXuHxCjDiLoLPsqn24P8	0	0.656	0.774	6	0.0494	-4.406	0	0.0861	133.995	0.636	0.00105
amitTrivedi/Amit Trivedi, Mame Khan _ Chaudhary.mp3	spotify:track:7wRmY78Evs2Ol6veaG57JE	0	0.465	0.577	1	0.11	-9.299	0	0.14	150.013	0.258	0.00688
amitTrivedi/Amit Trivedi _ Shaam.mp3	spotify:track:4QSF0d4ENvMXA03ARpMfaP	1	0.452	0.703	6	0.121	-6.523	1	0.195	172.039	0.813	9.32E-06
amitTrivedi/Amit Trivedi, Shilpa Rao, Nikhil D'Souza (Amit Trivedi) {Amitabh Bhattacharya} _ Gubbare.mp3	spotify:track:0a4IoONosaWbLT4QfSvqij	1	0.785	0.367	6	0.0594	-10.605	1	0.0391	128	0.601	4.48E-05
amitTrivedi/Kavita Seth, Amitabh Bhattacharya  (Amit Trivedi) {Javed Akhtar} _ Iktara Iktara.mp3	spotify:track:1U5ZT7c7Sw84xDcoEt0Zaq	1	0.609	0.531	7	0.291	-7.18	1	0.0267	80.012	0.381	0.000324
amitTrivedi/Meghna Mishra (Amit Trivedi) {Kausar Munir} _ Nachdi Phira.mp3	spotify:track:5DJHFCqWn9hrirPvWRvLU4	1	0.421	0.46	7	0.101	-6.044	1	0.0344	171.845	0.208	0
andromida/Andromida _ 0s and 1s Only.mp3	spotify:track:7ycyDZA9ZrX1xEFOnBoNSr	0	0.446	0.987	5	0.105	-4.285	0	0.0554	119.016	0.0872	0.899
andromida/Andromida _ Subject Zero.mp3	spotify:track:7ycyDZA9ZrX1xEFOnBoNSr	0	0.446	0.987	5	0.105	-4.285	0	0.0554	119.016	0.0872	0.899
andromida/Andromida _ Timeless.mp3	spotify:track:0Dnb8eEtP13qp2YuBNecg4	1	0.284	0.947	0	0.114	-4.044	1	0.0722	120.028	0.248	0.192
animals/This Town Needs Guns _ Badger.mp3	spotify:track:4HYzdsHaMNtMGAENz6Xr5O	0	0.393	0.672	0	0.106	-6.65	0	0.0279	128.728	0.387	0.000154
animals/This Town Needs Guns _ Chinchilla.mp3	spotify:track:4E0eZd48bymknQGhUntqag	0	0.477	0.521	3	0.102	-8.079	0	0.0299	118.922	0.357	0.00145
animals/This Town Needs Guns _ Crocodile.mp3	spotify:track:2hkUMNolKP5ieH77YCFdRy	0	0.563	0.437	0	0.144	-7.873	0	0.0287	122.595	0.241	2.41E-06
animals/This Town Needs Guns _ Dog.mp3	spotify:track:3UfMRxCgAZZh1eT8mFCHci	0	0.381	0.72	6	0.107	-7.039	0	0.028	147.946	0.696	0.000309
animals/This Town Needs Guns _ Elk.mp3	spotify:track:1XHMBvpEmYBek7nMWdSoNT	1	0.702	0.281	2	0.0927	-8.302	1	0.0395	117.621	0.193	0.905
animals/This Town Needs Guns _ Panda.mp3	spotify:track:0pnJP3jdU9TmeSkGsNqvB2	1	0.492	0.89	2	0.0747	-5.82	1	0.0481	135.641	0.465	0
animals/This Town Needs Guns _ Quetzal.mp3	spotify:track:7hSBrHvktje59QeXdqq1Cl	1	0.26	0.124	1	0.0851	-20.726	1	0.0345	90.409	0.152	0.831
animals/This Town Needs Guns _ Zebra.mp3	spotify:track:06Zo84o5S4qpI2JVGRUwGU	0	0.814	0.131	7	0.0912	-18.592	0	0.0464	110.028	0.517	0.0084
anime/Toby Fox _ Undertale: Megalovania.mp3	spotify:track:1J03Vp93ybKIxfzYI4YJtL	1	0.719	0.632	7	0.0362	-9.849	1	0.0602	119.987	0.934	0.855
anime/Toshio Masuda _ Naruto: Sadness and Sorrow.mp3	spotify:track:21hmbKf1YE4D9HnJFeaH4O	0	0.198	0.358	4	0.101	-8.757	0	0.0365	118.577	0.0393	0.265
anime/Yutaka Yamada _ Death Note Suite.mp3	spotify:track:6sMGVt2mLOSjFXcYs1PBdR	0	0.363	0.255	2	0.182	-12.19	0	0.0359	135.735	0.108	0.336
ankur/Ankur Tewari _ Aa Jaao - raw.mp3	spotify:track:050wOPfVf1QIRjXtKXXE7v	1	0.724	0.442	7	0.0944	-8.448	1	0.0267	109.981	0.326	0.434
ankur/Ankur Tewari (Ankur Tewari, Mike McKluskey) {Ankur Tewari} _ Jeene Mein Aye Maza.mp3	spotify:track:33HXbggKvIitg7y3UBhNfn	0	0.743	0.215	2	0.0814	-14.52	0	0.0514	162.09	0.521	0.604
ankur/Ankur Tewari, The Ghalat Family _ Dil Haare.mp3	spotify:track:26u6HGjzExhRZD5ifgTBnG	1	0.625	0.576	9	0.127	-7.976	1	0.0297	128.059	0.422	0.0023
ankur/Ankur Tewari, The Ghalat Family _ Harkat.mp3	spotify:track:5TqGFiQ4jQuCtqgELzfYox	0	0.524	0.604	4	0.117	-7.279	0	0.0405	124.788	0.244	3.58E-06
ankur/Benny Dayal, Ankur Tewari _ Thin Line of Blue.mp3	spotify:track:7ypiDTLq3MdPjceIdVmT7x	1	0.531	0.734	7	0.0915	-7.88	1	0.0329	151.027	0.497	0.242
anoushkaShankar/Anoushka Shankar _ Chasing Shadows.mp3	spotify:track:3K04iCSvtKLCccuPsjOLWA	0	0.684	0.667	9	0.0566	-9.175	0	0.0469	140.016	0.798	0.712
anoushkaShankar/Anoushka Shankar _ Dancing In Madness.mp3	spotify:track:5xAKjVD0yHzKRrDrdRzgAM	1	0.407	0.894	0	0.147	-8.878	1	0.0918	146.134	0.394	0.483
anoushkaShankar/Anoushka Shankar _ Fathers.mp3	spotify:track:1Zh3ZKXUTAc7jp7xG8raid	0	0.303	0.132	11	0.0927	-15.411	0	0.0372	122.986	0.213	0.000108
anoushkaShankar/Anoushka Shankar _ Indian Summer.mp3	spotify:track:7qW7YXi36ttjj6dJ2E6umt	0	0.463	0.448	2	0.13	-13.039	0	0.0302	150.023	0.381	0.0534
anoushkaShankar/Anoushka Shankar, Karsh Kaale, Nora Jones _ Easy.mp3	spotify:track:5yU6oTG6dh4JmP65f9CJht	1	0.661	0.446	7	0.073	-10.972	1	0.036	116	0.399	0.513
anoushkaShankar/Anoushka Shankar _ Lasya.mp3	spotify:track:2UORDFFZkwAZo3hkzOXT8U	1	0.382	0.319	7	0.133	-11.323	1	0.0368	99.782	0.386	0.117
anoushkaShankar/Anoushka Shankar _ Monsoon.mp3	spotify:track:218qtxbHJhY1aZQCfb6rOy	1	0.625	0.505	2	0.128	-9.155	1	0.029	105.026	0.362	0.00604
anoushkaShankar/Anoushka Shankar, Nitin Sahworey _ Flight.mp3	spotify:track:218qtxbHJhY1aZQCfb6rOy	1	0.625	0.505	2	0.128	-9.155	1	0.029	105.026	0.362	0.00604
anoushkaShankar/Anoushka Shankar & Norah Jones _ Traces Of You extn.mp3	spotify:track:1Peit04tcEKpVZ44fthtcs	0	0.593	0.221	11	0.112	-13.643	0	0.0342	119.896	0.561	0.689
anoushkaShankar/Anoushka Shankar, Shilpa Rao, Ayanna Witter Johnson _ Those Words.mp3	spotify:track:3qfCV6QrjAW9jML7u7pCSZ	0	0.261	0.332	7	0.109	-10.322	0	0.0288	83.126	0.252	0.00336
anupamRoy/Anupam Roy _ Amar Shawhore.mp3	spotify:track:0KUJIRBJjLybRafx81DSma	1	0.429	0.495	2	0.0951	-9.362	1	0.0384	77.701	0.124	0.000174
anupamRoy/Anupam Roy (Anupam Roy) {Anupam Roy} _ Teri Meri Baatein.mp3	spotify:track:3LlBtqPdGBcWfLDSfMNCxq	0	0.594	0.486	9	0.119	-9.05	0	0.0561	139.874	0.227	0
anupamRoy/Anupam Roy _ Lokkhiti.mp3	spotify:track:5wwQmWZtmEoV8XSm05zQvA	1	0.653	0.554	5	0.172	-8.156	1	0.0243	99.974	0.455	1.23E-06
anupamRoy/Satyaki Banerjee, Babul Supriyo, Anupam Roy (Anupam Roy) {Lalon Fakir,Javed Akhtar,Anupam Roy}[Satyaki Banerjee,Rishabh Ray,Nabarun Bose,Kaustav Biswas,Sandipan Parial,Ratul Shankar,Rohan Roy] _ Moner Manush - Coke Studio India Season4.mp3	spotify:track:1z4gjUJrZ137DBaBhKZ46a	0	0.7	0.768	4	0.206	-8.109	0	0.105	113.95	0.777	0.079
ar/AR Rahman _ Desi Thoughts.mp3	spotify:track:6PBXSuAUDKfrxppfxEbUHU	0	0.136	0.21	11	0.0984	-20.255	0	0.0336	82.449	0.05	0.916
ar/AR Rahman _ Naina Neer - Water.mp3	spotify:track:4FLwwvt9rq9yGoh2Gk1ePN	1	0.29	0.267	1	0.102	-11.369	1	0.0328	175.665	0.22	4.38E-06
ar/AR Rahman _ Surabhi Theme.mp3	spotify:track:4FLwwvt9rq9yGoh2Gk1ePN	1	0.29	0.267	1	0.102	-11.369	1	0.0328	175.665	0.22	4.38E-06
ar/Chinmayi (AR Rahman) _ Tere Bina.mp3	spotify:track:4FeczSomVWVyU4FW7xDeAI	1	0.744	0.7	2	0.068	-7.663	1	0.0375	144.033	0.867	0.000155
arijit/Arijit Singh (Amit Trivedi) _ Yeh Fitoor Mera.mp3	spotify:track:1O5mTSQa0sCce9ghhDqIZl	1	0.7	0.343	2	0.0789	-10.474	1	0.0308	137.864	0.488	0
arijit/Arijit Singh (Hanif Sheikh) {Hanif Sheikh, Manoj Yadav, Arun Kumar} _ Tose Naina.mp3	spotify:track:500H9ENeR5AYbKU1ScK6ME	1	0.601	0.441	4	0.0986	-8.946	1	0.0285	103.862	0.202	1.08E-06
arijit/Arijit Singh (Ilaiyaraaja) {Gulzar} _ Ae Zindagi Gale Laga Le.mp3	spotify:track:4PAqqrrAL4ZPyw8pEYdGdV	1	0.606	0.913	7	0.0993	-4.976	1	0.0577	90.998	0.881	1.15E-05
arijit/Arijit Singh, Kaushiki _ Kichhu Kichhu Kotha.mp3	spotify:track:3RTL7zAwEu9vi5F4M9zeX1	0	0.731	0.9	6	0.0722	-7.66	0	0.0466	143.991	0.963	0.0256
arijit/Arijit Singh (Sohail Rana) {Fayyaz Hashmi} _ Aaj Jane Ki Zid Na Karo.mp3	spotify:track:3APdIdF8H0jsxSuGOqXedS	0	0.791	0.558	7	0.0859	-7.155	0	0.0661	95.077	0.872	0
ar/Javed Ali (AR Rahman) {Javed Akhtar} _ Jashn-E-Bahaaraa.mp3	spotify:track:0OXQa6GOzxeYWFopEmASw9	1	0.805	0.67	2	0.203	-13.187	1	0.0601	122.992	0.916	5E-05
ar/Lata Mangeshkar, AR Rahman (AR Rahman) _ Lukka Chhupi.mp3	spotify:track:78KKYDENYsw6jYfuEZsqJl	0	0.462	0.457	1	0.334	-15.251	0	0.106	175.94	0.535	0
ar/Mika Singh, Nakash Aziz (AR Rahman){Irshad Kamil} _ Heer toh Badi Sad Hai.mp3	spotify:track:6o8dK6kcUvwrssG7uNPyT7	1	0.559	0.475	4	0.233	-10.374	1	0.032	90.964	0.403	0
arnobNFrnz/Arnob and Friends _ Ore Nil Doriya.mp3	spotify:track:6Cp7YFg2GfZMmiBBgylmX2	1	0.76	0.555	7	0.0888	-15.876	1	0.0462	118.939	0.96	0.0099
arnobNFrnz/Arnob _ Megh Bolechhe.mp3	spotify:track:5ZAXP6V20tpAagjLTU9z72	0	0.725	0.628	0	0.0872	-8.759	0	0.0295	114.96	0.787	0.00976
arnobNFrnz/Arnob _ Phagun Haway Haway.mp3	spotify:track:0e0kOeyW2FKftCvVllfrnA	1	0.789	0.913	0	0.0546	-7.212	1	0.0733	127.009	0.601	0
ar/Raghav Mathur, Shilpa Rao (AR Rahman) {Gulzar} _ Ishq Shava.mp3	spotify:track:3hp6JfJIxkv3sl7E6p7DQj	1	0.449	0.421	4	0.11	-8.92	1	0.0272	163.747	0.203	0.000108
ar/Rashid Ali (AR Rahman) {Abbas Tyrewala} _ Kabhi Kabhi Aditi.mp3	spotify:track:2dPUug9YiNL4ypu8UF8SnD	1	0.523	0.561	4	0.109	-6.474	1	0.0329	139.885	0.31	0
ar/Shankar Mahadevan, Kavita Krishnamurthy (AR Rahman) {Majrooh Sultanpuri, Javed Akhtar} _ Kay Sera Sera.mp3	spotify:track:4TkknEEgy9mpbDtSA9ZrKV	0	0.494	0.712	2	0.108	-6.605	0	0.0346	156.059	0.386	0.00028
ar/Sonu Nigam (AR Rahman) {Gulzar} _ Saathiya.mp3	spotify:track:3XTXnhyDRRHaP6Rm8utlfi	1	0.289	0.0246	2	0.103	-15.972	1	0.0387	99.031	0.276	0
ar/SP Balasubrahmanyam, Sujatha Mohan (AR Rahman) {PK Mishra} _ Roja Jaaneman.mp3	spotify:track:4ipRXw12TExqARMVzGqfZp	1	0.614	0.474	2	0.1	-6.919	1	0.0311	116.038	0.438	2.65E-05
ar/Surjo Bhattacharya (AR Rahman) _ Dheem Ta Dare.mp3	spotify:track:2vHPcgVavg6T1hVDe2y86X	1	0.288	0.22	10	0.166	-12.412	1	0.0343	75.489	0.319	2.64E-06
ar/Vijay Prakash (AR Rahman) {Gulzar} _ Manmohini Morey.mp3	spotify:track:5LTXVT4oQwWJNJLmrETGsV	1	0.631	0.199	2	0.157	-12.335	1	0.038	131.922	0.434	0
ar/Vijay Prakash, Mustafa (AR Rahman) {Gulzar} _ Beera Beera.mp3	spotify:track:0XwY17K9fiz0z8wHMqrwGy	1	0.571	0.514	8	0.11	-9.031	1	0.0419	101.91	0.237	1.38E-06
asees/Asees Kaur (Amit Trivedi) _ Jaan Nisaar.mp3	spotify:track:2u3HW8mIXavURNop5FD8cn	1	0.535	0.408	2	0.122	-9.6	1	0.0329	121.961	0.344	0.00264
asees/Asees Kaur _ Baat Nahi Karni.mp3	spotify:track:2Q7X5zeCFyMbmsxAx7cELX	1	0.393	0.359	1	0.136	-7.218	1	0.0282	180.199	0.152	0
asees/Asees Kaur, Raahat Fateh Ali Khan (Tanishk Bagchi) _ Tere Bin.mp3	spotify:track:324iODOMWqMOneHk6KR6oq	1	0.574	0.38	10	0.122	-8.779	1	0.0296	92.001	0.342	0
asees/Asees Kaur _ Sapna.mp3	spotify:track:4f5kLqyOJ5ZPnalEVMQrB2	1	0.649	0.716	7	0.603	-3.936	1	0.0384	86.949	0.639	4.51E-06
asees/Asees Kaur _ Sapna.mp3	spotify:track:6u5olIUAuEmBhA5DeSyJWs	0	0.155	0.406	0	0.0791	-13.163	0	0.0514	106.083	0.0869	0.885
audiomachine/Audiomachine _ Wars Of Faith.mp3	spotify:track:24xmMFEfEsoxotkmfB1630	1	0.349	0.629	8	0.112	-8.829	1	0.0459	75.026	0.165	0.895
audiomachine/Audiomachine _ We are Gods.mp3	spotify:track:4EdC3L7GICZ5MpFUqYf4rP	0	0.937	0.394	7	0.1	-10.732	0	0.258	102.991	0.377	0.0327
baarat/Ritviz, Nucleya _ Roz.mp3	spotify:track:40riOy7x9W7GXjyGp4pjAv	1	0.579	0.508	2	0.0575	-9.484	1	0.027	147.125	0.609	0.000494
bandRecords/Eagles _ Hotel California.mp3	spotify:track:5GorCbAP4aL0EJ16frG2hd	1	0.496	0.682	8	0.0589	-4.095	1	0.0294	167.06	0.474	2.94E-05
bandRecords/Green Day _ Boulevard of Broken Dreams.mp3	spotify:track:6EOKwO6WaLal58MSsi6U4W	0	0.521	0.301	4	0.398	-7.118	0	0.0356	137.382	0.621	0
beatles/The Beatles _ Eleanor Rigsby.mp3	spotify:track:6dGnYIeXmHdcikdzNNDMm2	1	0.557	0.54	9	0.179	-10.484	1	0.0347	129.171	0.394	0.00248
beatles/The Beatles _ Here Comes The Sun.mp3	spotify:track:0aym2LBJBk9DAYuHHutrIl	1	0.386	0.607	10	0.088	-7.7	1	0.0261	147.207	0.532	1.38E-05
beatles/The Beatles _ Hey Jude.mp3	spotify:track:4pbG9SUmWIvsROVLF0zF9s	1	0.49	0.715	7	0.311	-5.549	1	0.0476	130.726	0.866	0
beatles/The Beatles _ I Want To Hold Your Hand.mp3	spotify:track:3Umg8CDhO8dOSj7yBTInYb	1	0.352	0.479	6	0.486	-9.965	1	0.0338	126.166	0.354	0.000353
